OBJECTID_1,Country_Co,CN_DT_Code,STATE,D_NAME_1
851,IN,IND_528,ASSAM,Dhubri
852,IN,IND_537,ASSAM,Kamrup Metropolitan
853,IN,IND_531,ASSAM,Goalpara
854,IN,IND_530,ASSAM,Dima Hasao
855,IN,IND_523,ASSAM,Cachar
856,IN,IND_540,ASSAM,Karimganj
857,IN,IND_533,ASSAM,Hailakandi
858,IN,IND_524,ASSAM,Charaideo
859,IN,IND_543,ASSAM,Majuli
860,IN,IND_521,ASSAM,Biswanath
861,IN,IND_534,ASSAM,Hojai
862,IN,IND_549,ASSAM,South Salmara-mankachar
863,IN,IND_538,ASSAM,Karbi Anglong East
864,IN,IND_539,ASSAM,Karbi Anglong West
865,IN,IND_576,BIHAR,Pashchim Champaran
866,IN,IND_578,BIHAR,Purba Champaran
867,IN,IND_586,BIHAR,Sitamarhi
868,IN,IND_585,BIHAR,Sheohar
869,IN,IND_562,BIHAR,Gopalganj
